"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_roofingcompany.com","FirstLinkDate_roofingcompany.com","LastLinkDate_roofingcompany.com"
13,"asknrd.com",5,-1,1,2,18,902,901,11/03/2012 00:00,10/08/2013 00:00,"216.246.41.97","216.246.41.0","US","com",9,0,2,27/02/2013 00:00,08/07/2013 00:00
14,"courierpress.com",107876,36071,1,1,3417217,9634700,1062954,10/01/2008 00:00,10/08/2013 00:00,"164.109.40.120","164.109.40.0","US","com",42,40,1,21/06/2012 00:00,21/06/2012 00:00
15,"mylocally.com",4257,73069,1,1,528169,198100,140620,23/02/2009 00:00,10/08/2013 00:00,"204.11.102.29","204.11.102.0","US","com",37,34,1,08/11/2012 00:00,08/11/2012 00:00
16,"bolalist.com",6616,73117,1,1,157883,140624,113093,18/01/2009 00:00,10/08/2013 00:00,"173.0.129.54","173.0.129.0","US","com",41,14,1,23/03/2013 00:00,02/06/2013 00:00
17,"regionaldirectory.us",1315,143963,1,1,81734,5731482,291413,14/05/2009 00:00,10/08/2013 00:00,"206.130.125.28","206.130.125.0","US","us",41,27,1,28/10/2009 00:00,28/10/2009 00:00
18,"bestdealon.com",7241,160637,1,1,1607501,11017895,1606534,10/01/2008 00:00,10/08/2013 00:00,"198.71.51.140","198.71.51.0","US","com",30,21,1,24/04/2008 00:00,24/04/2008 00:00
19,"freeindex.com",4241,174649,1,1,904809,112474,97952,12/12/2010 00:00,10/08/2013 00:00,"65.98.41.169","65.98.41.0","US","com",50,19,1,27/02/2013 00:00,27/02/2013 00:00
20,"yelloyello.com",2479,280070,1,1,499311,6790789,1361992,11/01/2008 00:00,10/08/2013 00:00,"141.138.137.216","141.138.137.0","NL","com",30,13,1,21/05/2013 00:00,21/05/2013 00:00
21,"boralna.com",1401,353430,1,1,50069,8132,2826,31/10/2010 00:00,10/08/2013 00:00,"203.20.213.70","203.20.213.0","AU","com",42,55,1,31/03/2011 00:00,31/03/2011 00:00
22,"buildingtradesdir.com",16772,377766,1,1,400409,47328,28011,09/01/2008 00:00,19/07/2013 00:00,"69.89.20.46","69.89.20.0","US","com",23,22,1,08/12/2012 00:00,25/03/2013 00:00
23,"homeservicesengine.com",3419,655529,1,1,197431,3431326,684392,26/07/2009 00:00,10/08/2013 00:00,"74.86.15.68","74.86.15.0","US","com",32,30,1,23/07/2010 00:00,23/07/2010 00:00
