"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_pharmacycompany.com","FirstLinkDate_pharmacycompany.com","LastLinkDate_pharmacycompany.com"
81,"forumenfes.com",3002,-1,1,2,17912,133451,35508,25/09/2010 00:00,10/03/2013 00:00,"85.17.137.82","85.17.137.0","NL","com",14,1,2,18/07/2012 00:00,18/07/2012 00:00
82,"go-green-now.info",62,-1,1,2,82179,640306,121421,10/06/2010 00:00,27/01/2013 00:00,"31.31.73.93","31.31.73.0","CZ","info",10,0,2,20/09/2010 00:00,09/10/2010 00:00
83,"eforumz.net",17467,-1,1,2,308043,211151,90200,15/08/2010 00:00,10/08/2013 00:00,"46.252.207.1","46.252.207.0","NL","net",34,4,2,04/05/2013 00:00,04/05/2013 00:00
84,"freefastfind.com",36,-1,1,2,178,150410,15803,18/09/2009 00:00,24/09/2012 00:00,"209.15.13.134","209.15.13.0","US","com",5,0,2,12/05/2012 00:00,12/05/2012 00:00
85,"lilyfan.net",1493,-1,1,2,152492,767636,357416,04/07/2008 00:00,10/08/2013 00:00,"174.122.4.34","174.122.4.0","US","net",23,20,2,22/04/2012 00:00,22/04/2012 00:00
86,"medicalmarijuanatexas.org",119,-1,1,2,759,5313,4185,27/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",21,2,2,10/04/2013 00:00,09/08/2013 00:00
87,"cyberzap.com",55,-1,1,2,143,285623,52941,12/12/2008 00:00,10/08/2013 00:00,"173.254.28.47","173.254.28.0","US","com",1,0,2,11/07/2012 00:00,20/08/2012 00:00
88,"cumshotbestpics.com",1886,-1,1,2,48967,5700,3341,04/02/2008 00:00,10/08/2013 00:00,"208.94.232.213","208.94.232.0","US","com",21,3,2,02/05/2012 00:00,22/07/2012 00:00
89,"allinoneinsurance.eu",9,-1,1,2,12,748530,748530,26/02/2010 00:00,03/05/2013 00:00,"91.210.235.70","91.210.235.0","IE","eu",0,0,2,13/10/2011 00:00,15/12/2011 00:00
90,"inforetail.com",239,-1,1,2,2870,2164,1480,16/08/2010 00:00,10/08/2013 00:00,"205.147.208.251","205.147.208.0","US","com",14,16,2,15/04/2013 00:00,17/07/2013 00:00
91,"craigmelvin.com",912,-1,1,2,7678,4148,2108,23/03/2008 00:00,07/08/2013 00:00,"184.170.144.9","184.170.144.0","US","com",23,3,2,10/05/2012 00:00,10/05/2012 00:00
92,"kuk-bot.net",10905,-1,1,2,77792,76994,14556,14/07/2008 00:00,10/08/2013 00:00,"74.208.63.155","74.208.63.0","US","net",19,5,2,20/04/2012 00:00,31/07/2012 00:00
93,"cornmarket.com",12,-1,1,2,6223,758470,758469,17/09/2009 00:00,07/02/2013 00:00,"67.215.66.132","67.215.66.0","US","com",0,0,2,19/03/2010 00:00,19/03/2010 00:00
94,"catdrivers.com",282,-1,1,2,4406,7344,6521,31/10/2010 00:00,10/08/2013 00:00,"173.201.216.15","173.201.216.0","US","com",26,10,2,06/05/2011 00:00,07/09/2011 00:00
95,"medicalmarijuanatennessee.org",90,-1,1,2,811,5215,3879,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",20,0,2,01/03/2013 00:00,09/08/2013 00:00
96,"rsu1.org",12136,-1,1,2,94517,700756,111260,17/07/2008 00:00,10/08/2013 00:00,"204.11.51.107","204.11.51.0","CA","org",25,17,2,19/08/2012 00:00,19/10/2012 00:00
97,"free.fr",1847749,268,1,1,1155555978,45060354,4406114,09/01/2008 00:00,10/08/2013 00:00,"212.27.48.10","212.27.48.0","FR","fr",79,78,1,20/05/2012 00:00,28/05/2012 00:00
98,"webhostbox.net",62831,8822,1,1,1682603,1067855,208071,14/06/2010 00:00,10/08/2013 00:00,"67.63.55.3","67.63.55.0","US","net",40,24,1,10/03/2013 00:00,10/03/2013 00:00
99,"sensagent.com",27371,9485,1,1,3703109,51248419,2300031,10/01/2008 00:00,10/08/2013 00:00,"109.205.64.10","109.205.64.0","FR","com",41,35,1,30/12/2011 00:00,30/12/2011 00:00
100,"segabg.com",8578,56263,1,1,1618270,2481914,898901,09/01/2008 00:00,10/08/2013 00:00,"87.247.248.139","87.247.248.0","BG","com",50,45,1,16/04/2012 00:00,16/04/2012 00:00
101,"mediapool.bg",19206,79270,1,1,3767096,800966,378647,24/01/2008 00:00,10/08/2013 00:00,"193.194.140.19","193.194.140.0","BG","bg",47,45,1,30/06/2012 00:00,25/05/2013 00:00
102,"programmer-club.com.tw",2442,113645,1,1,1336844,405687,233107,11/12/2008 00:00,10/08/2013 00:00,"220.228.11.99","220.228.11.0","TW","tw",35,14,1,05/06/2012 00:00,05/06/2012 00:00
103,"forums.com",6366,133438,1,1,256494,383092,173124,27/07/2008 00:00,10/08/2013 00:00,"23.23.244.98","23.23.244.0","US","com",34,20,1,18/07/2012 00:00,18/07/2012 00:00
104,"badboysoftware.biz",44055,172540,1,1,701902,606946,151882,17/11/2008 00:00,10/08/2013 00:00,"182.50.148.128","182.50.148.0","SG","biz",44,25,1,07/08/2012 00:00,07/08/2012 00:00
105,"keep.pl",61375,192611,1,1,6302195,1528103,716445,25/01/2008 00:00,10/08/2013 00:00,"194.9.24.158","194.9.24.0","PL","pl",55,19,1,19/04/2013 00:00,19/04/2013 00:00
106,"relax-ptc.info",3577,271783,1,1,51696,80341,32880,10/03/2011 00:00,10/08/2013 00:00,"216.59.33.202","216.59.33.0","US","info",38,11,1,15/07/2013 00:00,15/07/2013 00:00
107,"iacampaigns.com",512,301252,1,1,4608,1210,845,29/08/2009 00:00,10/08/2013 00:00,"67.225.151.17","67.225.151.0","US","com",26,34,1,23/08/2012 00:00,23/08/2012 00:00
