"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_sushirestaurant.com","FirstLinkDate_sushirestaurant.com","LastLinkDate_sushirestaurant.com"
63,"nichepedia.org",1983,-1,1,8,29400,434204,323693,06/06/2008 00:00,10/08/2013 00:00,"199.101.28.10","199.101.28.0","US","org",17,1,8,14/10/2011 00:00,01/08/2012 00:00
64,"eatinglv.com",3533,-1,1,8,1600644,46702,30344,20/10/2008 00:00,10/08/2013 00:00,"97.74.234.46","97.74.234.0","US","com",35,30,8,01/05/2011 00:00,07/06/2013 00:00
65,"mozie.com",138,-1,1,8,1114,87571,60495,01/04/2008 00:00,10/08/2013 00:00,"173.203.73.225","173.203.73.0","US","com",13,5,8,12/06/2009 00:00,12/06/2009 00:00
66,"dorothyp.com",22924,-1,1,8,944085,64713,47350,04/04/2008 00:00,09/08/2013 00:00,"66.147.244.199","66.147.244.0","US","com",22,0,8,12/04/2011 00:00,15/04/2011 00:00
67,"vegaschinese.com",305,-1,1,8,89561,14776,13048,24/11/2010 00:00,10/08/2013 00:00,"67.20.113.241","67.20.113.0","US","com",43,6,8,04/03/2013 00:00,06/07/2013 00:00
68,"livestrong.com",152809,600,1,7,11254692,4513871,1405578,08/05/2008 00:00,10/08/2013 00:00,"23.60.124.164","23.60.124.0","US","com",67,48,7,03/10/2009 00:00,03/10/2009 00:00
69,"cityvoter.com",40943,32448,1,7,9796942,23681827,1806468,10/01/2008 00:00,10/08/2013 00:00,"208.75.212.90","208.75.212.0","US","com",47,42,7,15/11/2010 00:00,25/11/2010 00:00
70,"mountainproject.com",9996,86380,1,7,460670,5275356,1692587,09/01/2008 00:00,10/08/2013 00:00,"184.73.226.95","184.73.226.0","US","com",39,33,7,01/02/2008 00:00,29/07/2008 00:00
71,"kent65.com",480,86990,1,7,255667,30311,23631,06/05/2009 00:00,31/07/2013 00:00,"96.125.175.215","96.125.175.0","US","com",29,9,7,15/02/2013 00:00,04/07/2013 00:00
72,"accessvegas.com",6764,565373,1,7,1345704,17281007,1263972,09/01/2008 00:00,10/08/2013 00:00,"50.28.50.43","50.28.50.0","US","com",50,19,7,07/04/2008 00:00,14/07/2010 00:00
73,"sooeveningnews.com",7870,570194,1,7,296304,8066052,802977,06/02/2008 00:00,10/08/2013 00:00,"205.139.40.72","205.139.40.0","US","com",34,32,7,23/09/2010 00:00,13/10/2010 00:00
74,"noclonezone.com",7,-1,1,7,54,13095,12638,31/01/2008 00:00,10/08/2013 00:00,"66.147.242.192","66.147.242.0","US","com",5,0,7,09/03/2013 00:00,09/03/2013 00:00
75,"elcojp.com",5704,-1,1,7,114508,4934838,633358,14/11/2008 00:00,26/06/2013 00:00,"188.92.75.60","188.92.75.0","LV","com",18,6,7,17/02/2012 00:00,13/10/2012 00:00
76,"wordpress.com",6605676,21,1,6,12008496205,806652455,59581827,09/01/2008 00:00,10/08/2013 00:00,"66.155.11.238","66.155.11.0","US","com",94,92,6,09/12/2008 00:00,09/12/2008 00:00
77,"livejournal.com",1898781,133,1,6,2725310151,1111422148,91130185,09/01/2008 00:00,10/08/2013 00:00,"208.93.0.128","208.93.0.0","US","com",86,83,6,24/01/2009 00:00,24/01/2009 00:00
78,"littlewebdirectory.com",20817,14589,1,6,4525810,2185125,360823,11/01/2008 00:00,10/08/2013 00:00,"208.109.138.201","208.109.138.0","US","com",37,31,6,05/09/2012 00:00,05/09/2012 00:00
79,"kcrg.com",60250,36375,1,6,8669462,19260105,1469091,24/01/2008 00:00,10/08/2013 00:00,"68.142.73.111","68.142.73.0","US","com",57,52,6,12/07/2010 00:00,12/07/2010 00:00
80,"rrstar.com",71033,68442,1,6,14347982,25407253,1722723,13/01/2008 00:00,10/08/2013 00:00,"63.240.213.99","63.240.213.0","US","com",50,49,6,15/06/2013 00:00,15/06/2013 00:00
81,"lasvegasweekly.com",50891,77244,1,6,2453201,310768,218273,09/01/2008 00:00,10/08/2013 00:00,"138.210.151.139","138.210.151.0","US","com",57,51,6,23/12/2008 00:00,23/12/2008 00:00
82,"nevadashooters.com",1321,613032,1,6,12980,1181536,165349,07/03/2009 00:00,10/08/2013 00:00,"216.218.212.162","216.218.212.0","US","com",23,28,6,15/03/2010 00:00,15/03/2010 00:00
83,"sierrasun.com",38589,-1,1,6,5774198,18209194,1396590,21/01/2008 00:00,10/08/2013 00:00,"65.164.25.46","65.164.25.0","US","com",29,35,6,26/08/2010 00:00,26/08/2010 00:00
84,"ergomus.dk",1,-1,1,6,4,241356,241356,20/05/2010 00:00,05/08/2013 00:00,"87.116.22.90","87.116.22.0","DK","dk",0,0,6,05/11/2010 00:00,05/11/2010 00:00
