"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_printingshop.com","FirstLinkDate_printingshop.com","LastLinkDate_printingshop.com"
153,"inthe702.com",43,-1,1,7,388,4880,4077,13/11/2008 00:00,22/07/2013 00:00,"74.53.25.98","74.53.25.0","US","com",6,0,7,08/03/2009 00:00,03/07/2009 00:00
154,"bhaktapurcity.com",22,-1,1,7,67,489,347,05/11/2011 00:00,29/07/2013 00:00,"208.91.197.101","208.91.197.0","UK","com",7,3,7,08/12/2011 00:00,19/04/2012 00:00
155,"saronde.org",90,-1,1,7,35328,5736,1925,10/07/2012 00:00,24/05/2013 00:00,"184.173.233.155","184.173.233.0","US","org",11,7,7,06/01/2012 00:00,19/06/2012 00:00
156,"teendawg.com",140,-1,1,7,2314,12574,3376,04/03/2010 00:00,01/08/2013 00:00,"216.172.172.194","216.172.172.0","US","com",17,15,7,27/11/2011 00:00,27/11/2011 00:00
157,"bigworldclub.com",7520,-1,1,7,134621,108737,97299,14/01/2008 00:00,10/08/2013 00:00,"74.220.207.157","74.220.207.0","US","com",35,19,7,26/05/2013 00:00,02/06/2013 00:00
158,"lukerecommends.com",685,-1,1,7,3979,47508,26609,20/09/2009 00:00,31/07/2013 00:00,"174.132.167.90","174.132.167.0","US","com",16,1,7,17/11/2011 00:00,17/11/2011 00:00
159,"mangrade.com",402,-1,1,7,11473,1465,1284,13/10/2010 00:00,10/08/2013 00:00,"98.158.179.168","98.158.179.0","US","com",15,0,7,04/12/2011 00:00,13/07/2012 00:00
160,"chihuahuazone.com",120,-1,1,7,1294,14060,9285,28/10/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",24,0,7,20/06/2012 00:00,20/06/2012 00:00
161,"cheapbabywalkers.org",117,-1,1,7,445,943,388,17/12/2010 00:00,21/07/2013 00:00,"50.22.131.128","50.22.131.0","US","org",8,0,7,19/06/2012 00:00,19/06/2012 00:00
162,"linkresell.com",1857,27381,1,6,617766,72703,63943,05/12/2011 00:00,10/08/2013 00:00,"67.20.83.144","67.20.83.0","US","com",26,10,6,04/03/2013 00:00,04/03/2013 00:00
