"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_arizonasandsrvpark.com","FirstLinkDate_arizonasandsrvpark.com","LastLinkDate_arizonasandsrvpark.com"
42,"keyword-directory.com",602,-1,1,6,778560,6393119,1103515,15/11/2009 00:00,10/08/2013 00:00,"173.244.181.116","173.244.181.0","US","com",8,3,6,02/03/2010 00:00,02/03/2010 00:00
43,"myrvtalk.com",1851,-1,1,6,17485,238012,112594,05/02/2008 00:00,10/08/2013 00:00,"96.127.161.18","96.127.161.0","US","com",19,10,6,15/01/2012 00:00,07/06/2013 00:00
44,"propertywigan.com",21,-1,1,6,3539,479419,479418,05/11/2009 00:00,21/07/2013 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,6,04/03/2010 00:00,30/03/2010 00:00
45,"gridir.com",105,102797,1,5,148028,211018,172627,09/10/2012 00:00,10/08/2013 00:00,"50.16.239.77","50.16.239.0","US","com",58,25,5,01/03/2013 00:00,01/03/2013 00:00
46,"easyhotels4u.com",133,-1,1,5,1039,1540285,78217,24/06/2008 00:00,27/01/2013 00:00,"217.70.184.38","217.70.184.0","FR","com",7,11,5,04/09/2008 00:00,30/09/2008 00:00
47,"recreationkeywords.net",2,-1,1,5,2,1272054,1272053,31/01/2008 00:00,01/12/2010 00:00,"173.244.181.125","173.244.181.0","US","net",0,0,5,15/03/2009 00:00,15/03/2009 00:00
48,"d-yn.com",284,-1,1,5,164772,390247,120303,07/11/2010 00:00,10/08/2013 00:00,"192.30.136.146","192.30.136.0","US","com",24,21,5,03/04/2013 00:00,03/04/2013 00:00
49,"belfastonline.com",45,-1,1,5,22389,1074813,1074812,20/04/2009 00:00,12/02/2013 00:00,"82.98.86.167","82.98.86.0","DE","com",0,0,5,25/08/2010 00:00,25/08/2010 00:00
50,"searchmaze.com",1396,-1,1,5,375014,239503,160478,10/01/2008 00:00,10/08/2013 00:00,"213.206.113.136","213.206.113.0","NL","com",26,26,5,18/02/2008 00:00,18/02/2008 00:00
51,"dublinproperties.com",13,-1,1,5,1626,1028468,1028468,01/05/2009 00:00,12/02/2013 00:00,"82.98.86.169","82.98.86.0","DE","com",0,0,5,12/01/2010 00:00,27/06/2010 00:00
52,"queensisland.com",19,-1,1,5,5902,1226487,1226487,15/07/2009 00:00,12/01/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",0,0,5,01/05/2010 00:00,25/05/2010 00:00
53,"zzjia.com",340,-1,1,5,5232,298910,109163,04/01/2010 00:00,07/08/2013 00:00,"116.255.164.46","116.255.164.0","CN","com",15,9,5,09/04/2013 00:00,09/04/2013 00:00
54,"dmoz.org",569403,1059,1,4,1094375544,55944258,3010654,09/01/2008 00:00,10/08/2013 00:00,"205.188.87.207","205.188.87.0","US","org",79,82,4,08/03/2008 00:00,26/09/2010 00:00
55,"passportamerica.com",2595,453988,1,4,549708,34068,19973,28/01/2008 00:00,08/08/2013 00:00,"166.78.215.161","166.78.215.0","US","com",32,34,4,03/06/2012 00:00,03/06/2012 00:00
56,"seotg.com.cn",1285,-1,1,4,1136674,1325195,447353,14/11/2009 00:00,10/08/2013 00:00,"58.64.137.200","58.64.137.0","HK","cn",28,9,4,11/05/2013 00:00,12/05/2013 00:00
57,"matrixbookstore.biz",2310,-1,1,4,11168,1074,924,25/06/2008 00:00,10/08/2013 00:00,"66.241.225.205","66.241.225.0","US","biz",35,31,4,22/06/2009 00:00,01/07/2013 00:00
58,"recreation-0204alwsv.info",4,-1,1,4,131,47713,13837,15/06/2010 00:00,03/11/2010 00:00,"","","","info",0,0,4,01/11/2010 00:00,01/11/2010 00:00
59,"gotravelaz.com",79,-1,1,4,11092,160,155,10/09/2011 00:00,10/08/2013 00:00,"69.89.21.68","69.89.21.0","US","com",23,15,4,23/01/2011 00:00,10/07/2013 00:00
60,"dinggeqiu.com",138,-1,1,4,391281,384594,93860,11/01/2013 00:00,10/08/2013 00:00,"50.115.128.51","50.115.128.0","US","com",12,2,4,13/05/2013 00:00,13/05/2013 00:00
61,"cxteaw.com",705,-1,1,4,69087,560440,112825,10/09/2010 00:00,10/08/2013 00:00,"199.193.64.150","199.193.64.0","US","com",35,9,4,13/03/2013 00:00,13/03/2013 00:00
62,"deguoguan.net",100,-1,1,4,37190,288374,105212,23/02/2013 00:00,10/08/2013 00:00,"59.188.31.238","59.188.31.0","HK","net",13,10,4,18/03/2013 00:00,18/03/2013 00:00
63,"links4us.com",1273,-1,1,4,533541,2460226,764770,09/01/2008 00:00,06/10/2010 00:00,"69.43.161.167","69.43.161.0","US","com",15,9,4,13/07/2009 00:00,13/07/2009 00:00
